title,year,genres,overview
The Matrix,1999,Action|Sci-Fi,"A computer hacker learns about the true nature of reality and his role in the war against its controllers."
Inception,2010,Action|Sci-Fi|Thriller,"A thief who steals corporate secrets through dream-sharing technology is given a task of inception."
The Dark Knight,2008,Action|Crime|Drama,"Batman faces the Joker, a criminal mastermind, causing chaos in Gotham."
Interstellar,2014,Adventure|Drama|Sci-Fi,"A team travels through a wormhole in space in an attempt to ensure humanity's survival."
Toy Story,1995,Animation|Comedy|Family,"A cowboy doll is profoundly threatened when a new spaceman figure supplants him."
Spirited Away,2001,Animation|Adventure|Family,"A girl enters the world of spirits to save her parents."
Parasite,2019,Comedy|Drama|Thriller,"Greed and class discrimination threaten a newly formed symbiotic relationship between the wealthy and destitute."
Mad Max: Fury Road,2015,Action|Adventure|Sci-Fi,"In a post-apocalyptic wasteland, Max teams up with Furiosa."
Whiplash,2014,Drama|Music,"A young drummer enrolls at a cut-throat music conservatory."
The Godfather,1972,Crime|Drama,"The aging patriarch of an organized crime dynasty transfers control to his reluctant son."
